id,id_projeto,id_freelancer,status_proposta,valor_proposta,prazo_entrega,descricao
945,945,1934,Cancelada,3880.82,2025-05-16 07:42:45,"Illum iure nemo libero.
Aliquam ullam ullam repellat dolorem consectetur illum. Nam laboriosam ut illum. Excepturi reiciendis reiciendis unde.
Cupiditate non molestias animi deleniti dolorem. Sunt totam dicta dicta praesentium placeat."
946,946,2293,Recusada,4912.35,2025-05-20 03:01:30,"Amet exercitationem praesentium est expedita placeat. Eaque facilis voluptatum voluptates. Ipsa blanditiis voluptas quo molestias.
Repellendus porro ab corrupti voluptatem. Vero doloremque laboriosam recusandae.
Perferendis ipsam natus quidem doloremque quis vel qui. Est eaque sed est. Esse ab culpa recusandae consequuntur."
947,947,607,Cancelada,6851.34,2025-05-19 07:03:21,"Minus in qui.
Minima quisquam consequatur praesentium recusandae reiciendis.
Dolor corrupti ad saepe placeat magni. Eum eligendi deleniti asperiores ut eos.
Autem inventore eaque saepe ab veniam. Sapiente a iste.
Aut fugit laborum eum ab.
Reprehenderit neque ipsam laboriosam sequi."
948,948,1005,Recusada,1564.96,2025-05-16 06:41:48,"Eveniet nemo sunt dolorem voluptatibus libero. Sit laudantium repudiandae odio excepturi nulla id. Quos sunt recusandae molestiae quidem rerum.
Aliquam quod harum error. Soluta vero commodi cupiditate quis distinctio fugiat doloribus."
949,949,2008,Aceita/Em Andamento,3462.83,2025-05-17 15:07:51,"Laborum quos animi sed ab eveniet enim. Corporis repudiandae nobis illum nihil assumenda. Ipsam enim animi aspernatur.
Amet rerum repellat dignissimos vitae porro sequi porro. Laborum nobis occaecati consequatur voluptate dolorem ab. Quod ab voluptatum sit.
Sint deserunt suscipit asperiores."
950,950,693,Recusada,1985.52,2025-05-16 19:44:37,"Harum culpa tempora voluptatibus nisi dolorum. Esse architecto deserunt illo voluptas explicabo reprehenderit. Corrupti occaecati itaque tenetur eaque in.
Id impedit dolor dolor ut autem. Beatae eius numquam eaque accusamus impedit quam.
Possimus commodi ea qui. Voluptates omnis itaque architecto nisi officia accusamus."
951,951,2539,Cancelada,8566.90,2025-05-21 09:52:57,"Illo incidunt aperiam dolore incidunt facilis. Facere asperiores laboriosam occaecati omnis. Facilis ea ipsa et facere.
Reiciendis perspiciatis corrupti voluptatum sequi placeat molestias a. Hic mollitia iusto dignissimos reprehenderit. Labore quia deleniti animi occaecati atque inventore."
952,952,587,Aceita/Em Andamento,7545.89,2025-05-16 04:34:07,"Aliquid blanditiis optio nesciunt officia magni voluptatum. Delectus aliquam nobis quae inventore possimus. Dolorum porro natus eius harum est assumenda.
Voluptatum porro voluptatem aut. Molestias nisi occaecati possimus itaque laborum nesciunt.
Quia in non quas. Aliquid recusandae veritatis. Corrupti hic similique ratione."
953,953,2714,Aceita/Em Andamento,1694.08,2025-05-15 05:37:15,"Non asperiores nihil culpa. Quod voluptates dicta voluptatibus ad fuga. Expedita sapiente optio sunt voluptatem accusantium quod.
Neque aspernatur laboriosam distinctio. Fugiat dolore quidem. Alias voluptatem velit recusandae repellat sunt."
954,954,2528,Aceita/Em Andamento,8072.92,2025-05-16 08:37:12,"Unde recusandae iure ipsa magnam ab assumenda similique. Nam dolorem dolores quidem laboriosam qui.
Doloribus voluptatum voluptate dicta ab. Temporibus officia quis placeat nobis. Voluptas in nam reiciendis eveniet libero ipsam.
Eaque nobis quam libero. In nulla suscipit maiores.
Consectetur assumenda consectetur. Deleniti officiis ipsum."
955,955,2265,Recusada,2573.82,2025-05-09 21:54:23,"Sequi architecto alias rerum debitis exercitationem. Cum amet officiis ipsam rem possimus. Dignissimos nobis asperiores corrupti beatae facilis quisquam.
Quae reiciendis velit. Vitae impedit quos dolores. Voluptas officia quis pariatur amet repudiandae."
956,956,2085,Recusada,3574.89,2025-05-18 08:55:28,"Pariatur quo cumque a necessitatibus voluptatum eos. Necessitatibus dolor laboriosam eligendi nostrum.
Repellat necessitatibus quia nesciunt nihil nostrum. Quos facere molestiae eum."
957,957,2209,Aceita/Em Andamento,9931.63,2025-05-13 05:34:06,"Rem aspernatur ea non perferendis voluptatum. Asperiores quidem sint hic quasi laudantium. Occaecati dicta ea unde voluptatum fugiat.
Harum corrupti mollitia quam sequi praesentium quos. Corporis deleniti maiores rem.
Commodi cumque tempore quas. Laborum dicta fugit laborum.
In iure dignissimos culpa officia. Nobis ut eos ullam esse quia ipsum."
958,958,1327,Aceita/Em Andamento,4556.96,2025-05-11 23:51:17,"Occaecati atque voluptates quidem placeat blanditiis ducimus libero.
Aperiam vel iste ab dolores. Ipsam corporis commodi quos. Omnis ab molestias asperiores.
Esse impedit sit quod molestias iste laudantium. Sequi eaque doloribus quod sint sunt inventore."
959,959,1475,Aceita/Finalizada,6014.43,2025-05-16 12:17:47,"Facilis quis officia ratione distinctio fugit dolorem. Ea officiis voluptatem similique quibusdam debitis. Sed aperiam quae.
Ex sequi voluptatem voluptates. Eaque similique aut totam.
Expedita inventore eum autem totam blanditiis in. Nostrum nostrum ipsam maxime iure neque consequuntur."
960,960,2201,Recusada,2662.34,2025-05-13 10:15:50,"Atque aut sed ipsam quam. Similique dolorum numquam ipsum nihil culpa.
Nesciunt asperiores doloremque perspiciatis rerum.
Pariatur corrupti soluta et accusamus libero.
Consequatur deserunt cumque commodi quas beatae. Accusamus ab ducimus quisquam.
Facere illo nesciunt ipsa optio autem excepturi. Non perferendis dicta blanditiis nulla."
961,961,2435,Aceita/Em Andamento,7739.53,2025-05-21 09:05:13,"Quas sequi quia. Harum reiciendis omnis. Quia praesentium libero eveniet esse dolores.
Voluptate ad provident voluptatibus nobis nihil natus. Aliquam totam dolores quos blanditiis. Officia nemo aliquam nesciunt officiis.
Laudantium suscipit sed. Alias ut saepe veritatis. Mollitia recusandae in eius impedit."
962,962,537,Aceita/Finalizada,8954.62,2025-05-15 20:05:18,"At esse provident at. Laudantium molestias quisquam cupiditate esse. Alias velit accusantium in. Itaque ea itaque molestiae reiciendis rem.
Est dolores consequuntur quos. Optio adipisci suscipit totam rerum id. Ipsam nostrum fugiat dolores nesciunt.
Molestiae totam alias possimus nisi eum. Nihil eos voluptates porro expedita."
963,963,169,Pendente,4889.60,2025-05-19 04:46:56,"Recusandae fugit reiciendis non laborum similique. Labore harum nisi minus sit ab.
Quaerat nostrum nesciunt explicabo reiciendis ullam illum.
Omnis ratione laboriosam officiis consequatur. Dicta eius veritatis et inventore.
Ipsa nemo a similique odit voluptas at. Tempora quae beatae enim totam provident."
964,964,991,Pendente,2588.71,2025-05-10 06:36:27,"Veniam eum porro ullam ea nisi. Velit necessitatibus est voluptate facilis voluptate.
Illum sequi mollitia unde dolorum optio. Nemo repellat laboriosam nam labore enim libero. Doloribus minus esse impedit sint.
Amet expedita reiciendis deserunt dolor eligendi. Hic sapiente labore. Eum deserunt quam veniam quos eaque harum."
965,965,955,Aceita/Finalizada,8057.49,2025-05-13 05:09:28,"Minima facere quia. Placeat modi nulla quam voluptatibus debitis veniam.
Explicabo tenetur magnam nihil voluptatibus. Neque corporis odit minima. Modi omnis inventore similique delectus odit quo.
Dicta nemo perferendis mollitia excepturi voluptates modi. Veniam ea ducimus et laudantium similique natus. Odit voluptates ab."
966,966,2698,Cancelada,5667.27,2025-05-18 04:38:36,"Beatae ut ut id fuga quidem. Necessitatibus quas voluptates ex illo laborum iste. Cumque debitis eaque laudantium cumque sapiente modi.
Rem perspiciatis sint sequi quibusdam consequuntur. Repudiandae consectetur id eaque.
Enim amet vitae reiciendis atque quae."
967,967,1513,Aceita/Em Andamento,8530.49,2025-05-21 02:32:31,"Labore impedit deserunt dolorem. Illum consequuntur quo nesciunt accusantium architecto ipsum delectus.
Quidem nisi ipsum qui id. Voluptate consequatur laudantium omnis officia.
Illo similique quas debitis. Doloribus occaecati voluptatibus totam quasi magnam temporibus explicabo. Excepturi veniam perspiciatis rerum."
968,968,2284,Recusada,6735.91,2025-05-10 22:22:52,"Nobis exercitationem facere expedita in minima perferendis. Nisi ducimus hic eaque magnam.
Consequatur animi maxime quae. Fuga eveniet pariatur impedit totam at veritatis. Maiores culpa voluptatum eos. Aspernatur necessitatibus tempora quisquam eum.
Velit quam qui occaecati maiores quod nesciunt nam. Esse nesciunt ex nam nesciunt deleniti."
969,969,296,Aceita/Em Andamento,2067.75,2025-05-13 02:25:33,"Fugiat laborum dolor voluptate tenetur expedita. Ut fuga dolor quam inventore iste. Dolorum dolores omnis quos porro natus. Aut beatae veritatis dolorem ea deserunt aspernatur.
Ab voluptate numquam eos ipsa vero incidunt. Aliquam mollitia a dolor.
Quos dolore mollitia optio provident. Vel sint sed. Velit possimus perferendis voluptates eius."
970,970,1346,Pendente,9789.45,2025-05-13 07:19:41,"Odit magni inventore accusantium blanditiis eum. Exercitationem alias hic.
Nostrum ad doloribus ea optio sunt laborum iusto.
Consequuntur deserunt doloribus fugit quasi nulla laborum. Vel commodi exercitationem deserunt impedit.
Nesciunt dicta tempora recusandae repellendus similique magnam. Minima quidem voluptatum reiciendis."
971,971,1086,Aceita/Finalizada,6749.81,2025-05-14 10:37:03,"Maiores libero commodi consequatur harum natus quia. Dignissimos temporibus consequuntur asperiores. Laboriosam fugit debitis eveniet dolorem placeat odit.
Veritatis ratione officiis iste expedita quasi. Sapiente perferendis atque possimus ut."
972,972,2156,Aceita/Finalizada,5914.08,2025-05-16 07:20:36,"Laudantium totam rerum velit. Iste vero sed occaecati ipsam autem occaecati. Numquam magni a cupiditate alias dolores dolores. Eum maxime delectus velit at delectus.
Excepturi odit error recusandae magnam tempore fugit soluta. Consequatur sunt explicabo provident."
973,973,2140,Pendente,3395.83,2025-05-18 20:48:37,"Voluptate natus earum velit ipsum quidem. Placeat voluptatibus possimus sequi consequuntur similique. Ut voluptatum quod eius provident laudantium delectus.
Dolore fugiat similique quas optio officia. Dolore sunt optio maxime eos aspernatur. Repellendus ad nobis repellendus."
974,974,2515,Aceita/Finalizada,8104.64,2025-05-14 15:12:00,"Cumque animi qui. Officia iste doloribus quia repellat nobis. Necessitatibus doloribus accusamus aperiam recusandae.
Nisi repellat velit voluptatem. Omnis et accusantium veritatis reprehenderit commodi.
Placeat veniam ullam amet quibusdam. Quae repellendus ducimus repudiandae."
975,975,1177,Recusada,4841.83,2025-05-13 08:09:23,"Adipisci vero quis molestiae error asperiores. Dignissimos accusantium inventore nihil vero.
Fugiat natus quisquam excepturi nam occaecati. Esse maiores necessitatibus labore magnam pariatur.
Labore nisi exercitationem repudiandae impedit recusandae."
976,976,2081,Pendente,7158.91,2025-05-17 20:41:43,"Molestiae minus adipisci necessitatibus. Nam exercitationem enim commodi repellat iste corrupti. Omnis aliquam dolorem praesentium.
Corrupti quod quos voluptas temporibus. Totam vero numquam magnam.
In dolore sed necessitatibus ab debitis aspernatur. Adipisci minus soluta velit. Totam modi quia."
977,977,1690,Recusada,2072.62,2025-05-17 04:04:11,"Inventore impedit eum amet ipsum dicta. Ullam adipisci facere unde cumque quasi atque. Labore labore repellat dolorum ab a.
Reiciendis quam qui repudiandae. Optio sunt iure odit adipisci excepturi repudiandae velit. Nobis nisi neque et at doloremque.
Excepturi atque harum. Odio dolor rerum hic. Harum dolorum suscipit at."
978,978,829,Cancelada,1359.85,2025-05-19 12:53:37,"Perspiciatis enim laboriosam voluptates omnis maiores vero quibusdam. Magni quis quidem doloribus.
Ipsa corporis tenetur ex. Voluptatum id magni incidunt consectetur aliquid est. Consectetur ipsum cum hic.
Vel ad perferendis minus illo. Sed dolorem ratione ullam impedit aut reprehenderit."
979,979,101,Aceita/Finalizada,1354.49,2025-05-15 17:34:17,"Voluptatem maxime culpa aperiam officia.
Natus sapiente excepturi placeat dolorem. Aut repellendus suscipit neque cupiditate cumque eveniet. Consectetur quibusdam suscipit tenetur laudantium occaecati. Omnis velit animi quos.
Tenetur numquam repudiandae voluptate. Illum iure atque ex deserunt.
Amet quibusdam eos assumenda."
980,980,349,Cancelada,9500.41,2025-05-18 09:27:35,Architecto veritatis sint soluta nesciunt. Molestias amet doloremque molestias. Quibusdam cupiditate blanditiis. Dolorem ea doloribus sit libero.
981,981,1919,Aceita/Finalizada,3077.77,2025-05-21 12:07:44,"Ipsum optio tempore beatae inventore. Fugit cupiditate accusamus laborum excepturi numquam.
Saepe veritatis aperiam sit blanditiis magni. Molestias natus possimus ratione inventore voluptatibus iste."
982,982,2114,Aceita/Em Andamento,5153.67,2025-05-10 17:11:24,"Quisquam distinctio voluptatibus odit vero. Beatae eveniet sequi velit.
Ipsam nisi dicta quia adipisci. Cupiditate possimus fugit quia voluptatem. Adipisci quidem molestiae fugiat ipsam.
Nulla eaque ad possimus fugiat error quos magni. Sunt exercitationem doloremque laudantium saepe est officiis. Eos consequuntur repellat maiores dicta sint."
983,983,2871,Pendente,278.24,2025-05-14 21:41:05,"Accusantium ut itaque veritatis necessitatibus. Itaque architecto illum corporis quos quasi illum. Hic omnis officiis nobis.
Mollitia esse sapiente non asperiores voluptatem. Earum ratione esse porro.
Autem dicta rerum doloremque harum. Ullam possimus nostrum optio odit quia nesciunt. Labore in temporibus alias ut."
984,984,1662,Aceita/Finalizada,4739.24,2025-05-15 07:27:24,"Fugiat minima rerum. Unde quidem neque et et. Sunt totam asperiores dignissimos molestias debitis. Aperiam repellat totam eum.
Dolorem eveniet fuga numquam magnam. Error aliquam distinctio provident voluptatem minus.
Temporibus fugiat itaque. Sed assumenda deserunt accusantium voluptatem cupiditate nemo."
985,985,2445,Recusada,7859.17,2025-05-12 21:32:50,"Sapiente facilis ab fugiat facilis quas laudantium aliquid. Corrupti debitis quidem voluptate similique optio aliquid quidem. Magni error dolorem a vel quis debitis accusantium.
Earum nemo ad omnis asperiores. Quae et natus optio sequi illum aliquid in."
986,986,2294,Aceita/Finalizada,2422.39,2025-05-20 17:52:33,"Voluptatibus veniam dignissimos officiis tempora id illo. Omnis id sint adipisci reiciendis quaerat.
Necessitatibus mollitia at esse. Tenetur sint ipsa ab.
Perspiciatis cumque laboriosam veritatis perferendis libero consectetur. Architecto facere animi magni nemo amet."
987,987,2452,Aceita/Finalizada,1748.62,2025-05-16 16:16:19,"Corrupti excepturi sit tenetur. Veniam dolorem qui expedita optio repellendus.
Amet suscipit architecto.
Necessitatibus qui delectus libero iusto. Repellendus necessitatibus numquam praesentium tempora accusantium perspiciatis non. Natus minus ullam provident."
988,988,414,Pendente,8755.02,2025-05-11 06:42:31,"Ad totam cupiditate velit. Tenetur dolorem possimus. Quam est aliquid voluptatibus.
Quae eligendi deleniti culpa in asperiores quod. Ad expedita ea quasi repudiandae dolorum. Vitae aliquid nam eius.
Impedit totam a similique ut id ad quibusdam. Pariatur dolorum animi dolor nisi."
989,989,1159,Aceita/Finalizada,8998.58,2025-05-10 04:39:28,"Reprehenderit eos omnis id repellendus dolor magnam.
Ad aspernatur dignissimos. Minima aperiam autem recusandae ad labore pariatur. Maxime architecto voluptatum odit placeat blanditiis natus.
Explicabo aut laudantium ex cumque dolorum corrupti accusantium. Esse nam voluptatibus id pariatur."
990,990,1732,Recusada,1098.27,2025-05-12 12:29:12,"Corrupti magnam fugit ex. Omnis veniam provident. Mollitia itaque quod tempora animi praesentium totam.
Laborum esse eveniet fugit aut fugiat. Unde possimus doloribus ratione laudantium. Fugiat quidem accusantium laborum facilis facere adipisci.
Amet labore dicta quae veritatis eos. Nisi fugiat porro delectus dolore."
991,991,877,Aceita/Finalizada,9001.97,2025-05-13 00:37:34,"Nostrum vero minima maiores suscipit rerum.
Tempora assumenda magnam reiciendis minima natus. Reiciendis minus est quis.
Nostrum facere sequi magni fugit ex autem fugit. Quisquam laborum sequi quis.
Mollitia dolorum id. Nesciunt nisi pariatur alias quo.
Harum corporis libero saepe saepe. Natus ab quod impedit odit dolores asperiores."
992,992,2701,Recusada,5439.30,2025-05-20 17:55:44,"Saepe vitae harum eos nulla vero. Recusandae necessitatibus eos omnis.
Totam similique corporis voluptate. Laboriosam quod blanditiis repudiandae quidem quam neque.
Dolorem nulla est laudantium. Natus delectus ipsam assumenda."
993,993,1382,Aceita/Finalizada,3721.42,2025-05-19 08:07:51,"Dolores hic praesentium accusantium debitis. Necessitatibus consectetur odio officia inventore. Magni reiciendis quo rem ut illum.
Fugit ratione vitae dolor fuga. Quisquam incidunt ea accusamus. Amet rerum eius nemo ipsa sed esse."
994,994,369,Aceita/Finalizada,5428.97,2025-05-16 21:05:49,"Odit asperiores ex ex. Deleniti eaque earum accusamus. Aut odio molestiae quis facilis voluptas illum. Quam placeat quasi voluptatibus consequuntur.
Quo cupiditate delectus vero molestias. Fugiat veniam eveniet tempora hic. Nobis doloribus ex ab."
995,995,445,Recusada,7797.73,2025-05-13 16:37:37,"Blanditiis iusto natus nihil commodi. Tempore a aspernatur fuga sit quos repudiandae dolorem.
Placeat quod necessitatibus quod pariatur ipsum. Perferendis molestias voluptas illo maxime similique eveniet. Alias quidem ducimus pariatur illo."
996,996,2545,Cancelada,533.70,2025-05-12 09:43:18,"Libero eius deserunt dolorum dignissimos expedita ratione. Aut non animi.
Dolore quam quo minima eveniet ipsum consectetur. Soluta at corporis placeat dolorem voluptatem.
Esse dignissimos accusamus qui. Eligendi minus aspernatur laudantium a dolor ut. Ad doloribus molestiae debitis dicta sunt. Eveniet impedit eum ut labore est voluptatem."
997,997,60,Aceita/Finalizada,7503.38,2025-05-21 14:01:29,"Neque nobis optio. Voluptatibus sint quam porro modi fugit. Eum repellendus similique optio architecto incidunt excepturi adipisci.
Quasi quam magni explicabo non officia. Reprehenderit porro ex architecto. Quae exercitationem harum dignissimos quam in.
Autem quos accusamus ab atque."
998,998,2853,Aceita/Em Andamento,8577.59,2025-05-19 10:58:08,"Voluptas perspiciatis illum quis reiciendis. Blanditiis quos officiis blanditiis voluptatem quibusdam possimus. Labore ut odit deleniti aspernatur inventore provident qui.
Suscipit impedit tenetur. Veniam quaerat distinctio ab commodi illo quia. Consectetur esse numquam laboriosam dignissimos."
999,999,2186,Aceita/Finalizada,2441.68,2025-05-11 23:43:20,"Expedita provident mollitia pariatur. Ipsum ipsa eius iusto sequi nisi culpa incidunt. Veritatis molestiae soluta quos.
Sit perferendis minus corporis ullam. Vero error optio perferendis voluptate consectetur. Esse explicabo dolor cupiditate nesciunt ullam ea. Dicta impedit debitis sunt."
1000,1000,1638,Aceita/Finalizada,4488.33,2025-05-13 18:20:17,"Voluptas dolores dignissimos animi consequuntur aut necessitatibus veritatis. Voluptatibus officia modi quaerat magni commodi enim. Doloribus officia fugiat deserunt. Tenetur totam minus.
Ea aperiam delectus consequuntur incidunt reprehenderit unde. Omnis dignissimos dolorem iste error quis. Consectetur accusamus hic repellat incidunt."
1001,1001,2293,Aceita/Finalizada,5490.25,2025-05-12 08:58:30,"Ipsum enim minima sit ut repellat. Molestias tempore vero. Et voluptas repudiandae assumenda.
Ex quo at repellat atque. Officiis ut commodi minima libero dolores exercitationem.
Laboriosam dolorem provident quis mollitia rerum. Id in maxime architecto.
Quibusdam et deleniti asperiores impedit occaecati dolorum."
1002,1002,676,Aceita/Em Andamento,2295.43,2025-05-16 00:43:02,"Quia officiis fugiat perspiciatis ipsa numquam expedita ab. Officiis expedita id ullam dicta numquam delectus.
Culpa nulla deserunt sapiente ipsam. Rem perferendis nam at quam. Accusantium dolore pariatur recusandae.
Vero debitis illo inventore."
1003,1003,903,Aceita/Em Andamento,6235.08,2025-05-11 05:05:38,"Magnam fugit repudiandae error quo. Debitis delectus ab explicabo. Itaque ullam quasi beatae occaecati quibusdam ullam.
Deleniti id ipsam magni cupiditate hic ad. Voluptate mollitia eius suscipit dolore rerum aspernatur saepe.
Ipsam nulla aspernatur neque quam optio. Impedit excepturi sit. Voluptatum facere recusandae."
1004,1004,2887,Aceita/Em Andamento,5080.63,2025-05-18 08:15:59,"Doloremque ratione nisi id error itaque vero nihil. Incidunt natus esse nam maiores. Sunt illum nesciunt similique voluptatem quam. Atque quos laudantium veritatis molestias ducimus eos ad.
Quod nihil eligendi. Dolores alias quibusdam odio dolore quis."
1005,1005,266,Aceita/Finalizada,8579.78,2025-05-09 12:13:12,"Ipsam vitae autem magni. Laborum ducimus eum pariatur.
Suscipit debitis modi dignissimos. Omnis voluptate rerum sapiente deleniti similique voluptate.
Dolores voluptatibus sequi deserunt. Repellendus iure eligendi repellat praesentium tenetur vitae. Reiciendis vitae officiis molestias cumque possimus."
1006,1006,1045,Aceita/Em Andamento,8277.56,2025-05-18 17:50:06,"Eligendi illum molestias corrupti rerum id. Suscipit ducimus amet repellendus asperiores ea earum eum. Voluptatum omnis fuga distinctio.
Ab voluptatibus maxime repudiandae incidunt voluptatum. Vel blanditiis enim sed aut.
Magni cum tempora. Consectetur amet ex vero qui culpa.
Cumque tempora voluptate eum mollitia ipsa id. Dolore earum molestiae."
1007,1007,1563,Aceita/Finalizada,6756.77,2025-05-11 04:35:22,"Doloribus exercitationem eum tenetur illo. Ducimus ut illum blanditiis dicta placeat. Animi ab quod et inventore omnis odit debitis.
Nemo beatae commodi explicabo aut dolores consequuntur. Ratione minus adipisci natus. Ex dignissimos similique inventore tempora repellat saepe ipsa."
1008,1008,676,Cancelada,4713.85,2025-05-13 12:09:13,"Nisi molestias consequuntur exercitationem dolorem illum asperiores rem. Veniam possimus sapiente laborum laboriosam harum.
Debitis quod ipsum eaque explicabo praesentium sunt. Odio quidem neque necessitatibus fugit. Quasi at omnis eveniet. Aut ipsa modi voluptatibus doloremque et."
1009,1009,2058,Aceita/Finalizada,694.37,2025-05-14 21:37:01,"Porro voluptatem vel culpa non quisquam reiciendis. Animi porro adipisci neque.
Non ipsam rerum ullam mollitia perferendis molestiae. Ratione impedit expedita et repellendus. Impedit accusantium numquam accusantium repellendus eaque."
1010,1010,2776,Recusada,6756.96,2025-05-15 21:49:55,"Culpa accusamus dignissimos vitae enim aliquid ex. Nihil architecto molestiae eum at est.
Ipsa nesciunt error quasi nesciunt pariatur asperiores. Distinctio dignissimos consectetur beatae. Quisquam sint dolores sequi quae voluptatum."
1011,1011,1598,Aceita/Finalizada,9266.64,2025-05-10 02:59:05,"Officiis quos unde non laudantium aut. Facilis molestias beatae nemo consectetur dicta. Repellat fugiat vitae minima veniam ex tenetur.
Dolor blanditiis numquam quidem corporis. Odio sunt at quo labore nobis iste placeat. Deserunt iusto voluptas quo dolor."
1012,1012,68,Pendente,4740.58,2025-05-20 12:25:31,"Animi autem necessitatibus assumenda qui. Reprehenderit consectetur eum sint.
Sint sed nesciunt laboriosam itaque aut atque. Voluptates repellat quas incidunt. Quis dignissimos illo sunt non tempora omnis.
Maiores dolores natus alias beatae. Beatae maxime delectus officiis fugiat incidunt ipsum quos."
1013,1013,1957,Aceita/Finalizada,3982.51,2025-05-10 06:41:06,"Hic quae reprehenderit et optio. Consectetur vero illo laudantium. Perspiciatis non officiis fugit similique veritatis magnam dolores. Doloremque amet sed voluptatum eligendi.
Perspiciatis reprehenderit corporis asperiores atque. Totam sapiente odit eius eius."
1014,1014,2538,Pendente,1322.06,2025-05-21 07:07:22,"Unde animi iure mollitia est cumque consectetur architecto. Aperiam itaque quasi impedit repellat minus enim quidem. Voluptatibus vitae reprehenderit blanditiis dicta cupiditate.
Minima animi nostrum culpa. Molestias maiores temporibus at iste voluptatum debitis. Temporibus numquam laudantium."
1015,1015,176,Cancelada,5893.49,2025-05-18 17:30:13,"Recusandae sunt fugit illo accusantium beatae. Sed incidunt laboriosam porro cupiditate in quo aliquid. Sed quod nemo molestiae.
Vitae labore sit magnam voluptatum. Nihil nam quo. Deleniti officia illum assumenda pariatur. Saepe numquam odit iste vitae facilis facilis."
1016,1016,1694,Aceita/Em Andamento,5066.53,2025-05-21 11:56:31,"Minus quos repellat temporibus omnis inventore nesciunt accusantium. Totam deserunt odit consequatur. Assumenda aliquid doloribus fugit atque. Laboriosam fuga harum veritatis necessitatibus.
Fugit quisquam ipsa optio. Veritatis id eligendi iste molestias natus corrupti eveniet. Excepturi tempora ullam nemo temporibus eum vel."
1017,1017,376,Aceita/Finalizada,6580.31,2025-05-11 03:09:56,"Ea sequi quasi vitae quisquam. Labore dolorum dolor vitae eaque nobis. Ea distinctio ab praesentium vitae assumenda.
Voluptatem alias laboriosam suscipit earum minus. Animi aliquam adipisci cumque quaerat repellat.
Praesentium possimus molestiae eveniet soluta assumenda ex."
1018,1018,657,Aceita/Em Andamento,5396.52,2025-05-14 14:28:36,"Consequatur nisi numquam. Nihil quas at vel fugiat minima totam. Nostrum magni facere modi ad.
Tempore illo laboriosam laboriosam sunt earum dignissimos. Delectus optio commodi ratione.
Exercitationem mollitia saepe ut repellat id quod. Id velit sint aspernatur nostrum dignissimos. Nesciunt quam ab nostrum ipsum neque animi."
1019,1019,2048,Aceita/Finalizada,2162.83,2025-05-09 03:44:31,"Cupiditate quis in tenetur omnis. Blanditiis soluta sint itaque. Atque debitis itaque iure alias distinctio sint.
Similique libero at recusandae veritatis quasi nam. Inventore occaecati odio pariatur dolor commodi quibusdam. Repellendus numquam ullam iste."
1020,1020,1396,Recusada,5970.94,2025-05-18 20:40:07,"Aliquam facere nisi saepe minima fugit. Mollitia accusamus fugit nihil officia nostrum. Consectetur cumque recusandae perspiciatis mollitia accusantium accusamus blanditiis.
Sit ducimus officia. Quidem et perferendis ea voluptates enim reprehenderit assumenda.
Blanditiis quo tempore. Itaque tempora hic."
1021,1021,1126,Cancelada,6128.16,2025-05-21 10:54:17,"Quod debitis ducimus. Error repellendus mollitia excepturi delectus repellat mollitia. Quidem voluptatum culpa et facere explicabo.
Esse totam unde animi libero. Quaerat numquam blanditiis ad soluta.
Numquam cumque amet consectetur corrupti temporibus. Sint saepe aperiam. Doloribus ut non sapiente suscipit."
1022,1022,1543,Aceita/Finalizada,4593.69,2025-05-15 10:10:38,"Impedit animi iure molestias perspiciatis. Assumenda recusandae amet debitis aliquam porro. Magni veritatis eaque placeat laborum modi odit.
Quia consequuntur quae optio saepe illum ex. Ducimus earum pariatur eos ducimus voluptatibus quam. Earum sunt ullam id similique."
1023,1023,1612,Aceita/Finalizada,247.93,2025-05-21 12:56:16,"Magnam consequatur dolore at. Pariatur qui architecto perspiciatis ducimus. Explicabo rerum repudiandae blanditiis earum ad.
Amet voluptas ducimus. Numquam laborum commodi dolore dignissimos ipsa corporis. Quos sint nesciunt labore.
Aspernatur consectetur quas iure. Porro enim esse nihil."
1024,1024,2196,Pendente,3382.32,2025-05-10 18:49:06,"Aliquid nostrum voluptas reiciendis. Laborum maiores assumenda enim harum voluptates sequi.
Quod veritatis temporibus id cumque veniam molestias. Sint necessitatibus fuga a deleniti. Dolorem accusantium sed perspiciatis quisquam beatae.
Quae ipsa quam delectus. Quisquam maxime repellat eum labore est mollitia amet."
1025,1025,2801,Pendente,6631.25,2025-05-13 07:18:16,"Quibusdam beatae aliquid quisquam quo molestiae qui assumenda. Consequuntur deserunt quisquam quas animi. Id eum iste.
Beatae hic quidem animi doloremque. Hic consequuntur dolor voluptatem quis architecto. Ipsam ut explicabo saepe nostrum aperiam alias. Modi alias voluptas maiores a labore."
1026,1026,2284,Cancelada,8492.84,2025-05-17 12:21:32,"Facere animi occaecati iusto fugit voluptates. Dolorem numquam doloremque. Nisi omnis harum.
Accusantium reprehenderit quod consectetur alias doloremque repudiandae. Reiciendis occaecati autem.
Sunt cum minima maxime ex illo. Fugiat dignissimos quae illum. Sequi dignissimos a nihil eius voluptatum."
1027,1027,267,Aceita/Em Andamento,3186.02,2025-05-13 20:41:32,"Modi deserunt quaerat eum magni. Ad quo assumenda magni quia itaque. Optio corporis eveniet tempora natus ex perferendis rerum.
Corporis quis rem voluptatibus. Fugit repellendus debitis.
Quisquam aperiam voluptatem recusandae facere sunt. Ducimus nam tenetur sapiente.
Voluptatibus error fuga quod. Accusamus explicabo sapiente quia."
